title,Predicted_result,rotten_rate,predicted_income
Avengers: Endgame,2,Top Hit,4408.852376899081
The Lion King,0,Flop,1404.3602065062892
Once Upon a Time ... in Hollywood,2,Top Hit,1092.505760767115
It Chapter Two,0,Flop,80.20206667368491
Spider-Man: Far From Home,0,Flop,801.7206735988099
Star Wars: The Rise of Skywalker,0,Flop,53.760161070527936
A Beautiful Day in the Neighborhood,0,Flop,24.90912296985131
Captain Marvel,0,Flop,6256.846794959772
Aladdin,2,Top Hit,841.2167991549416
Us,2,Top Hit,317.0436241046679
Toy Story 4,0,Flop,929.3609281923831
Honey Boy,0,Flop,30.12527113078312
Terminator: Dark Fate,0,Flop,721.7090161639316
John Wick: Chapter 3 - Parabellum,2,Top Hit,718.7809916351804
Hellboy,0,Flop,255.80549316031744
Joker,0,Flop,89.79741951328553
Good Boys (II),0,Flop,43.86215696117872
Frozen II,0,Flop,341.37410530739623
Dumbo,0,Flop,94.94834195210521
Shazam!,2,Top Hit,717.0541893418798
